#name:GRB_561
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.48
#Av_host:0.16
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 15.9986 0.0401 45.00 - AB 1 colibri
300.00 zy 15.1827 0.0403 45.00 - AB 1 colibri
350.00 r 16.0513 0.0404 45.00 - AB 1 colibri
350.00 zy 15.2674 0.0404 45.00 - AB 1 colibri
400.00 i 15.7067 0.0404 45.00 - AB 1 colibri
400.00 zy 15.3413 0.0404 45.00 - AB 1 colibri
450.00 g 16.7400 0.0407 45.00 - AB 1 colibri
450.00 zy 15.4070 0.0404 45.00 - AB 1 colibri
500.00 r 16.2500 0.0405 45.00 - AB 1 colibri
500.00 zy 15.4661 0.0405 45.00 - AB 1 colibri
550.00 i 15.8850 0.0405 45.00 - AB 1 colibri
550.00 zy 15.5197 0.0405 45.00 - AB 1 colibri
600.00 g 16.9018 0.0408 45.00 - AB 1 colibri
600.00 zy 15.5688 0.0405 45.00 - AB 1 colibri
650.00 r 16.3981 0.0405 45.00 - AB 1 colibri
650.00 zy 15.6142 0.0405 45.00 - AB 1 colibri
700.00 i 16.0215 0.0405 45.00 - AB 1 colibri
700.00 zy 15.6562 0.0406 45.00 - AB 1 colibri
750.00 g 17.0285 0.0409 45.00 - AB 1 colibri
750.00 zy 15.6955 0.0406 45.00 - AB 1 colibri
800.00 r 16.5162 0.0406 45.00 - AB 1 colibri
800.00 zy 15.7323 0.0406 45.00 - AB 1 colibri
850.00 i 16.1322 0.0406 45.00 - AB 1 colibri
850.00 zy 15.7669 0.0406 45.00 - AB 1 colibri
