#name:GRB_83
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.1
#Av_host:1.15
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 17.2051 0.0405 45.00 - AB 1 colibri
300.00 zy 16.2611 0.0411 45.00 - AB 1 colibri
350.00 r 17.4368 0.0416 45.00 - AB 1 colibri
350.00 zy 16.5566 0.0416 45.00 - AB 1 colibri
400.00 i 17.2004 0.0421 45.00 - AB 1 colibri
400.00 zy 16.8146 0.0423 45.00 - AB 1 colibri
450.00 g 18.7714 0.0473 45.00 - AB 1 colibri
450.00 zy 17.0436 0.0431 45.00 - AB 1 colibri
500.00 r 18.1295 0.0437 45.00 - AB 1 colibri
500.00 zy 17.2493 0.0441 45.00 - AB 1 colibri
550.00 i 17.8220 0.0446 45.00 - AB 1 colibri
550.00 zy 17.4362 0.0452 45.00 - AB 1 colibri
600.00 g 19.3352 0.0549 45.00 - AB 1 colibri
600.00 zy 17.6074 0.0466 45.00 - AB 1 colibri
650.00 r 18.6454 0.0469 45.00 - AB 1 colibri
650.00 zy 17.7653 0.0482 45.00 - AB 1 colibri
700.00 i 18.2976 0.0486 45.00 - AB 1 colibri
700.00 zy 17.9118 0.0501 45.00 - AB 1 colibri
750.00 g 19.7764 0.0661 45.00 - AB 1 colibri
750.00 zy 18.0486 0.0522 45.00 - AB 1 colibri
800.00 r 19.0568 0.0516 45.00 - AB 1 colibri
800.00 zy 18.1767 0.0545 45.00 - AB 1 colibri
850.00 i 18.6830 0.0544 45.00 - AB 1 colibri
850.00 zy 18.2972 0.0571 45.00 - AB 1 colibri
