#name:GRB_585
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.61
#Av_host:0.0
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 12.3716 0.0400 45.00 - AB 1 colibri
300.00 zy 11.8245 0.0400 45.00 - AB 1 colibri
350.00 r 12.4796 0.0400 45.00 - AB 1 colibri
350.00 zy 11.9674 0.0400 45.00 - AB 1 colibri
400.00 i 12.3319 0.0400 45.00 - AB 1 colibri
400.00 zy 12.0921 0.0400 45.00 - AB 1 colibri
450.00 g 13.0664 0.0400 45.00 - AB 1 colibri
450.00 zy 12.2028 0.0400 45.00 - AB 1 colibri
500.00 r 12.8146 0.0400 45.00 - AB 1 colibri
500.00 zy 12.3023 0.0400 45.00 - AB 1 colibri
550.00 i 12.6326 0.0400 45.00 - AB 1 colibri
550.00 zy 12.3927 0.0400 45.00 - AB 1 colibri
600.00 g 13.3391 0.0400 45.00 - AB 1 colibri
600.00 zy 12.4756 0.0400 45.00 - AB 1 colibri
650.00 r 13.0642 0.0400 45.00 - AB 1 colibri
650.00 zy 12.5520 0.0400 45.00 - AB 1 colibri
700.00 i 12.8627 0.0400 45.00 - AB 1 colibri
700.00 zy 12.6229 0.0400 45.00 - AB 1 colibri
750.00 g 13.5526 0.0400 45.00 - AB 1 colibri
750.00 zy 12.6890 0.0400 45.00 - AB 1 colibri
800.00 r 13.2632 0.0400 45.00 - AB 1 colibri
800.00 zy 12.7510 0.0400 45.00 - AB 1 colibri
850.00 i 13.0492 0.0400 45.00 - AB 1 colibri
850.00 zy 12.8094 0.0400 45.00 - AB 1 colibri
