#name:GRB_408
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.54
#Av_host:0.03
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 16.4755 0.0402 45.00 - AB 1 colibri
300.00 zy 16.1176 0.0410 45.00 - AB 1 colibri
350.00 r 16.6596 0.0407 45.00 - AB 1 colibri
350.00 zy 16.3312 0.0412 45.00 - AB 1 colibri
400.00 i 16.6709 0.0411 45.00 - AB 1 colibri
400.00 zy 16.5177 0.0416 45.00 - AB 1 colibri
450.00 g 17.2389 0.0412 45.00 - AB 1 colibri
450.00 zy 16.6833 0.0419 45.00 - AB 1 colibri
500.00 r 17.1605 0.0412 45.00 - AB 1 colibri
500.00 zy 16.8321 0.0423 45.00 - AB 1 colibri
550.00 i 17.1204 0.0419 45.00 - AB 1 colibri
550.00 zy 16.9672 0.0428 45.00 - AB 1 colibri
600.00 g 17.6467 0.0419 45.00 - AB 1 colibri
600.00 zy 17.0910 0.0433 45.00 - AB 1 colibri
650.00 r 17.5336 0.0418 45.00 - AB 1 colibri
650.00 zy 17.2052 0.0438 45.00 - AB 1 colibri
700.00 i 17.4644 0.0429 45.00 - AB 1 colibri
700.00 zy 17.3112 0.0444 45.00 - AB 1 colibri
750.00 g 17.9658 0.0427 45.00 - AB 1 colibri
750.00 zy 17.4101 0.0450 45.00 - AB 1 colibri
800.00 r 17.8312 0.0426 45.00 - AB 1 colibri
800.00 zy 17.5028 0.0457 45.00 - AB 1 colibri
850.00 i 17.7432 0.0441 45.00 - AB 1 colibri
850.00 zy 17.5899 0.0465 45.00 - AB 1 colibri
