#name:GRB_283
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:3.38
#Av_host:0.25
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 18.1820 0.0416 45.00 - AB 1 colibri
300.00 zy 17.6879 0.0474 45.00 - AB 1 colibri
350.00 r 18.1601 0.0438 45.00 - AB 1 colibri
350.00 zy 17.8355 0.0491 45.00 - AB 1 colibri
400.00 i 18.0377 0.0461 45.00 - AB 1 colibri
400.00 zy 17.9643 0.0508 45.00 - AB 1 colibri
450.00 g 19.2684 0.0537 45.00 - AB 1 colibri
450.00 zy 18.0787 0.0527 45.00 - AB 1 colibri
500.00 r 18.5061 0.0458 45.00 - AB 1 colibri
500.00 zy 18.1815 0.0546 45.00 - AB 1 colibri
550.00 i 18.3482 0.0492 45.00 - AB 1 colibri
550.00 zy 18.2749 0.0566 45.00 - AB 1 colibri
600.00 g 19.5501 0.0597 45.00 - AB 1 colibri
600.00 zy 18.3604 0.0586 45.00 - AB 1 colibri
650.00 r 18.7639 0.0480 45.00 - AB 1 colibri
650.00 zy 18.4393 0.0607 45.00 - AB 1 colibri
700.00 i 18.5859 0.0526 45.00 - AB 1 colibri
700.00 zy 18.5126 0.0628 45.00 - AB 1 colibri
750.00 g 19.7706 0.0660 45.00 - AB 1 colibri
750.00 zy 18.5809 0.0650 45.00 - AB 1 colibri
800.00 r 18.9696 0.0504 45.00 - AB 1 colibri
800.00 zy 18.6450 0.0672 45.00 - AB 1 colibri
850.00 i 18.7786 0.0563 45.00 - AB 1 colibri
850.00 zy 18.7052 0.0694 45.00 - AB 1 colibri
