#name:GRB_284
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:2.2
#Av_host:0.81
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 17.6672 0.0408 45.00 - AB 1 colibri
300.00 zy 16.3711 0.0413 45.00 - AB 1 colibri
350.00 r 17.7972 0.0425 45.00 - AB 1 colibri
350.00 zy 16.5187 0.0416 45.00 - AB 1 colibri
400.00 i 17.2207 0.0421 45.00 - AB 1 colibri
400.00 zy 16.6475 0.0418 45.00 - AB 1 colibri
450.00 g 19.2371 0.0532 45.00 - AB 1 colibri
450.00 zy 16.7619 0.0421 45.00 - AB 1 colibri
500.00 r 18.1433 0.0437 45.00 - AB 1 colibri
500.00 zy 16.8647 0.0424 45.00 - AB 1 colibri
550.00 i 17.5312 0.0431 45.00 - AB 1 colibri
550.00 zy 16.9581 0.0428 45.00 - AB 1 colibri
600.00 g 19.5189 0.0589 45.00 - AB 1 colibri
600.00 zy 17.0436 0.0431 45.00 - AB 1 colibri
650.00 r 18.4011 0.0451 45.00 - AB 1 colibri
650.00 zy 17.1225 0.0434 45.00 - AB 1 colibri
700.00 i 17.7689 0.0443 45.00 - AB 1 colibri
700.00 zy 17.1958 0.0438 45.00 - AB 1 colibri
750.00 g 19.7394 0.0650 45.00 - AB 1 colibri
750.00 zy 17.2641 0.0441 45.00 - AB 1 colibri
800.00 r 18.6067 0.0466 45.00 - AB 1 colibri
800.00 zy 17.3282 0.0445 45.00 - AB 1 colibri
850.00 i 17.9616 0.0455 45.00 - AB 1 colibri
850.00 zy 17.3884 0.0449 45.00 - AB 1 colibri
