#name:GRB_274
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.22
#Av_host:1.09
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 18.2761 0.0418 45.00 - AB 1 colibri
300.00 zy 17.0872 0.0433 45.00 - AB 1 colibri
350.00 r 18.5337 0.0460 45.00 - AB 1 colibri
350.00 zy 17.3717 0.0448 45.00 - AB 1 colibri
400.00 i 18.1351 0.0469 45.00 - AB 1 colibri
400.00 zy 17.6201 0.0467 45.00 - AB 1 colibri
450.00 g 20.0557 0.0768 45.00 - AB 1 colibri
450.00 zy 17.8405 0.0491 45.00 - AB 1 colibri
500.00 r 19.2006 0.0539 45.00 - AB 1 colibri
500.00 zy 18.0386 0.0520 45.00 - AB 1 colibri
550.00 i 18.7335 0.0554 45.00 - AB 1 colibri
550.00 zy 18.2185 0.0554 45.00 - AB 1 colibri
600.00 g 20.5985 0.1091 45.00 - AB 1 colibri
600.00 zy 18.3833 0.0592 45.00 - AB 1 colibri
650.00 r 19.6973 0.0661 45.00 - AB 1 colibri
650.00 zy 18.5353 0.0635 45.00 - AB 1 colibri
700.00 i 19.1914 0.0679 45.00 - AB 1 colibri
700.00 zy 18.6764 0.0683 45.00 - AB 1 colibri
750.00 g 21.0232 0.1490 45.00 - AB 1 colibri
750.00 zy 18.8080 0.0735 45.00 - AB 1 colibri
800.00 r 20.0934 0.0821 45.00 - AB 1 colibri
800.00 zy 18.9314 0.0791 45.00 - AB 1 colibri
850.00 i 19.5625 0.0843 45.00 - AB 1 colibri
850.00 zy 19.0474 0.0851 45.00 - AB 1 colibri
