#name:GRB_207
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:2.99
#Av_host:0.58
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 19.3572 0.0478 45.00 - AB 1 colibri
300.00 zy 19.1507 0.0911 45.00 - AB 1 colibri
350.00 r 19.3631 0.0571 45.00 - AB 1 colibri
350.00 zy 19.3502 0.1046 45.00 - AB 1 colibri
400.00 i 19.4293 0.0777 45.00 - AB 1 colibri
400.00 zy 19.5244 0.1187 45.00 - AB 1 colibri
450.00 g 20.4255 0.0969 45.00 - AB 1 colibri
450.00 zy 19.6789 0.1333 45.00 - AB 1 colibri
500.00 r 19.8307 0.0707 45.00 - AB 1 colibri
500.00 zy 19.8179 0.1483 45.00 - AB 1 colibri
550.00 i 19.8490 0.1021 45.00 - AB 1 colibri
550.00 zy 19.9441 0.1636 45.00 - AB 1 colibri
600.00 g 20.8062 0.1267 45.00 - AB 1 colibri
600.00 zy 20.0596 0.1790 45.00 - AB 1 colibri
650.00 r 20.1792 0.0866 45.00 - AB 1 colibri
650.00 zy 20.1663 0.1947 45.00 - AB 1 colibri
700.00 i 20.1702 0.1288 45.00 - AB 1 colibri
700.00 zy 20.2653 0.2105 45.00 - AB 1 colibri
750.00 g 21.1042 0.1585 45.00 - AB 1 colibri
750.00 zy 20.3576 0.2264 45.00 - AB 1 colibri
800.00 r 20.4570 0.1040 45.00 - AB 1 colibri
800.00 zy 20.4441 0.2424 45.00 - AB 1 colibri
850.00 i 20.4305 0.1570 45.00 - AB 1 colibri
850.00 zy 20.5256 0.2584 45.00 - AB 1 colibri
