#name:GRB_345
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.4
#Av_host:0.18
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 9.4608 0.0400 45.00 - AB 1 colibri
300.00 zy 8.9217 0.0400 45.00 - AB 1 colibri
350.00 r 9.6242 0.0400 45.00 - AB 1 colibri
350.00 zy 9.1227 0.0400 45.00 - AB 1 colibri
400.00 i 9.5298 0.0400 45.00 - AB 1 colibri
400.00 zy 9.2982 0.0400 45.00 - AB 1 colibri
450.00 g 10.3136 0.0400 45.00 - AB 1 colibri
450.00 zy 9.4540 0.0400 45.00 - AB 1 colibri
500.00 r 10.0955 0.0400 45.00 - AB 1 colibri
500.00 zy 9.5941 0.0400 45.00 - AB 1 colibri
550.00 i 9.9529 0.0400 45.00 - AB 1 colibri
550.00 zy 9.7213 0.0400 45.00 - AB 1 colibri
600.00 g 10.6973 0.0400 45.00 - AB 1 colibri
600.00 zy 9.8378 0.0400 45.00 - AB 1 colibri
650.00 r 10.4467 0.0400 45.00 - AB 1 colibri
650.00 zy 9.9452 0.0400 45.00 - AB 1 colibri
700.00 i 10.2766 0.0400 45.00 - AB 1 colibri
700.00 zy 10.0450 0.0400 45.00 - AB 1 colibri
750.00 g 10.9976 0.0400 45.00 - AB 1 colibri
750.00 zy 10.1381 0.0400 45.00 - AB 1 colibri
800.00 r 10.7267 0.0400 45.00 - AB 1 colibri
800.00 zy 10.2253 0.0400 45.00 - AB 1 colibri
850.00 i 10.5389 0.0400 45.00 - AB 1 colibri
850.00 zy 10.3073 0.0400 45.00 - AB 1 colibri
