#name:GRB_70
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.4
#Av_host:0.07
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 16.0318 0.0401 45.00 - AB 1 colibri
300.00 zy 15.7246 0.0406 45.00 - AB 1 colibri
350.00 r 16.1718 0.0404 45.00 - AB 1 colibri
350.00 zy 15.8957 0.0407 45.00 - AB 1 colibri
400.00 i 16.1708 0.0406 45.00 - AB 1 colibri
400.00 zy 16.0451 0.0409 45.00 - AB 1 colibri
450.00 g 16.6620 0.0406 45.00 - AB 1 colibri
450.00 zy 16.1778 0.0410 45.00 - AB 1 colibri
500.00 r 16.5731 0.0407 45.00 - AB 1 colibri
500.00 zy 16.2970 0.0412 45.00 - AB 1 colibri
550.00 i 16.5310 0.0409 45.00 - AB 1 colibri
550.00 zy 16.4053 0.0414 45.00 - AB 1 colibri
600.00 g 16.9888 0.0409 45.00 - AB 1 colibri
600.00 zy 16.5045 0.0415 45.00 - AB 1 colibri
650.00 r 16.8721 0.0409 45.00 - AB 1 colibri
650.00 zy 16.5960 0.0417 45.00 - AB 1 colibri
700.00 i 16.8066 0.0413 45.00 - AB 1 colibri
700.00 zy 16.6810 0.0419 45.00 - AB 1 colibri
750.00 g 17.2445 0.0412 45.00 - AB 1 colibri
750.00 zy 16.7602 0.0421 45.00 - AB 1 colibri
800.00 r 17.1105 0.0411 45.00 - AB 1 colibri
800.00 zy 16.8345 0.0423 45.00 - AB 1 colibri
850.00 i 17.0300 0.0417 45.00 - AB 1 colibri
850.00 zy 16.9044 0.0426 45.00 - AB 1 colibri
