#name:GRB_217
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.56
#Av_host:1.58
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 11.2620 0.0400 45.00 - AB 1 colibri
300.00 zy 9.9639 0.0400 45.00 - AB 1 colibri
350.00 r 11.4819 0.0400 45.00 - AB 1 colibri
350.00 zy 10.1697 0.0400 45.00 - AB 1 colibri
400.00 i 10.9423 0.0400 45.00 - AB 1 colibri
400.00 zy 10.3493 0.0400 45.00 - AB 1 colibri
450.00 g 12.8423 0.0400 45.00 - AB 1 colibri
450.00 zy 10.5088 0.0400 45.00 - AB 1 colibri
500.00 r 11.9644 0.0400 45.00 - AB 1 colibri
500.00 zy 10.6521 0.0400 45.00 - AB 1 colibri
550.00 i 11.3753 0.0400 45.00 - AB 1 colibri
550.00 zy 10.7823 0.0400 45.00 - AB 1 colibri
600.00 g 13.2351 0.0400 45.00 - AB 1 colibri
600.00 zy 10.9015 0.0400 45.00 - AB 1 colibri
650.00 r 12.3238 0.0400 45.00 - AB 1 colibri
650.00 zy 11.0115 0.0400 45.00 - AB 1 colibri
700.00 i 11.7066 0.0400 45.00 - AB 1 colibri
700.00 zy 11.1136 0.0400 45.00 - AB 1 colibri
750.00 g 13.5424 0.0400 45.00 - AB 1 colibri
750.00 zy 11.2088 0.0400 45.00 - AB 1 colibri
800.00 r 12.6104 0.0400 45.00 - AB 1 colibri
800.00 zy 11.2981 0.0400 45.00 - AB 1 colibri
850.00 i 11.9751 0.0400 45.00 - AB 1 colibri
850.00 zy 11.3821 0.0400 45.00 - AB 1 colibri
