#name:GRB_202
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.45
#Av_host:1.31
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 18.0877 0.0414 45.00 - AB 1 colibri
300.00 zy 16.6697 0.0419 45.00 - AB 1 colibri
350.00 r 18.2572 0.0443 45.00 - AB 1 colibri
350.00 zy 16.8047 0.0423 45.00 - AB 1 colibri
400.00 i 17.5461 0.0432 45.00 - AB 1 colibri
400.00 zy 16.9225 0.0426 45.00 - AB 1 colibri
450.00 g 19.7947 0.0667 45.00 - AB 1 colibri
450.00 zy 17.0272 0.0430 45.00 - AB 1 colibri
500.00 r 18.5737 0.0463 45.00 - AB 1 colibri
500.00 zy 17.1212 0.0434 45.00 - AB 1 colibri
550.00 i 17.8302 0.0446 45.00 - AB 1 colibri
550.00 zy 17.2066 0.0438 45.00 - AB 1 colibri
600.00 g 20.0525 0.0767 45.00 - AB 1 colibri
600.00 zy 17.2849 0.0443 45.00 - AB 1 colibri
650.00 r 18.8096 0.0485 45.00 - AB 1 colibri
650.00 zy 17.3571 0.0447 45.00 - AB 1 colibri
700.00 i 18.0477 0.0461 45.00 - AB 1 colibri
700.00 zy 17.4241 0.0451 45.00 - AB 1 colibri
750.00 g 20.2542 0.0866 45.00 - AB 1 colibri
750.00 zy 17.4866 0.0456 45.00 - AB 1 colibri
800.00 r 18.9978 0.0508 45.00 - AB 1 colibri
800.00 zy 17.5452 0.0461 45.00 - AB 1 colibri
850.00 i 18.2239 0.0478 45.00 - AB 1 colibri
850.00 zy 17.6004 0.0466 45.00 - AB 1 colibri
