#name:GRB_188
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.26
#Av_host:0.09
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 17.3590 0.0406 45.00 - AB 1 colibri
300.00 zy 16.9109 0.0426 45.00 - AB 1 colibri
350.00 r 17.4872 0.0417 45.00 - AB 1 colibri
350.00 zy 17.0726 0.0432 45.00 - AB 1 colibri
400.00 i 17.4066 0.0427 45.00 - AB 1 colibri
400.00 zy 17.2138 0.0439 45.00 - AB 1 colibri
450.00 g 18.0423 0.0429 45.00 - AB 1 colibri
450.00 zy 17.3391 0.0446 45.00 - AB 1 colibri
500.00 r 17.8663 0.0427 45.00 - AB 1 colibri
500.00 zy 17.4518 0.0453 45.00 - AB 1 colibri
550.00 i 17.7469 0.0441 45.00 - AB 1 colibri
550.00 zy 17.5541 0.0461 45.00 - AB 1 colibri
600.00 g 18.3511 0.0443 45.00 - AB 1 colibri
600.00 zy 17.6479 0.0470 45.00 - AB 1 colibri
650.00 r 18.1489 0.0437 45.00 - AB 1 colibri
650.00 zy 17.7343 0.0479 45.00 - AB 1 colibri
700.00 i 18.0074 0.0458 45.00 - AB 1 colibri
700.00 zy 17.8146 0.0488 45.00 - AB 1 colibri
750.00 g 18.5927 0.0458 45.00 - AB 1 colibri
750.00 zy 17.8895 0.0498 45.00 - AB 1 colibri
800.00 r 18.3742 0.0449 45.00 - AB 1 colibri
800.00 zy 17.9597 0.0508 45.00 - AB 1 colibri
850.00 i 18.2185 0.0477 45.00 - AB 1 colibri
850.00 zy 18.0257 0.0518 45.00 - AB 1 colibri
