#name:GRB_285
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:2.7
#Av_host:0.49
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 17.4909 0.0407 45.00 - AB 1 colibri
300.00 zy 16.5717 0.0417 45.00 - AB 1 colibri
350.00 r 17.6881 0.0422 45.00 - AB 1 colibri
350.00 zy 16.8452 0.0424 45.00 - AB 1 colibri
400.00 i 17.4390 0.0428 45.00 - AB 1 colibri
400.00 zy 17.0839 0.0433 45.00 - AB 1 colibri
450.00 g 19.0380 0.0502 45.00 - AB 1 colibri
450.00 zy 17.2957 0.0443 45.00 - AB 1 colibri
500.00 r 18.3291 0.0447 45.00 - AB 1 colibri
500.00 zy 17.4862 0.0456 45.00 - AB 1 colibri
550.00 i 18.0143 0.0459 45.00 - AB 1 colibri
550.00 zy 17.6591 0.0471 45.00 - AB 1 colibri
600.00 g 19.5598 0.0599 45.00 - AB 1 colibri
600.00 zy 17.8175 0.0488 45.00 - AB 1 colibri
650.00 r 18.8066 0.0485 45.00 - AB 1 colibri
650.00 zy 17.9637 0.0508 45.00 - AB 1 colibri
700.00 i 18.4544 0.0506 45.00 - AB 1 colibri
700.00 zy 18.0993 0.0531 45.00 - AB 1 colibri
750.00 g 19.9681 0.0731 45.00 - AB 1 colibri
750.00 zy 18.2258 0.0555 45.00 - AB 1 colibri
800.00 r 19.1873 0.0537 45.00 - AB 1 colibri
800.00 zy 18.3444 0.0582 45.00 - AB 1 colibri
850.00 i 18.8111 0.0570 45.00 - AB 1 colibri
850.00 zy 18.4560 0.0612 45.00 - AB 1 colibri
