#name:GRB_403
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:3.88
#Av_host:0.48
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 14.3971 0.0400 45.00 - AB 1 colibri
300.00 zy 13.6031 0.0401 45.00 - AB 1 colibri
350.00 r 14.4392 0.0401 45.00 - AB 1 colibri
350.00 zy 13.7774 0.0401 45.00 - AB 1 colibri
400.00 i 14.0499 0.0401 45.00 - AB 1 colibri
400.00 zy 13.9296 0.0401 45.00 - AB 1 colibri
450.00 g 16.1885 0.0404 45.00 - AB 1 colibri
450.00 zy 14.0646 0.0401 45.00 - AB 1 colibri
500.00 r 14.8479 0.0401 45.00 - AB 1 colibri
500.00 zy 14.1861 0.0401 45.00 - AB 1 colibri
550.00 i 14.4167 0.0401 45.00 - AB 1 colibri
550.00 zy 14.2963 0.0401 45.00 - AB 1 colibri
600.00 g 16.5212 0.0406 45.00 - AB 1 colibri
600.00 zy 14.3974 0.0402 45.00 - AB 1 colibri
650.00 r 15.1524 0.0402 45.00 - AB 1 colibri
650.00 zy 14.4906 0.0402 45.00 - AB 1 colibri
700.00 i 14.6974 0.0401 45.00 - AB 1 colibri
700.00 zy 14.5771 0.0402 45.00 - AB 1 colibri
750.00 g 16.7816 0.0407 45.00 - AB 1 colibri
750.00 zy 14.6578 0.0402 45.00 - AB 1 colibri
800.00 r 15.3952 0.0402 45.00 - AB 1 colibri
800.00 zy 14.7334 0.0402 45.00 - AB 1 colibri
850.00 i 14.9249 0.0402 45.00 - AB 1 colibri
850.00 zy 14.8046 0.0402 45.00 - AB 1 colibri
