#name:GRB_430
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:3.85
#Av_host:0.06
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 13.9542 0.0400 45.00 - AB 1 colibri
300.00 zy 13.5456 0.0401 45.00 - AB 1 colibri
350.00 r 13.9399 0.0401 45.00 - AB 1 colibri
350.00 zy 13.6884 0.0401 45.00 - AB 1 colibri
400.00 i 13.8406 0.0401 45.00 - AB 1 colibri
400.00 zy 13.8132 0.0401 45.00 - AB 1 colibri
450.00 g 14.9401 0.0401 45.00 - AB 1 colibri
450.00 zy 13.9239 0.0401 45.00 - AB 1 colibri
500.00 r 14.2749 0.0401 45.00 - AB 1 colibri
500.00 zy 14.0234 0.0401 45.00 - AB 1 colibri
550.00 i 14.1413 0.0401 45.00 - AB 1 colibri
550.00 zy 14.1138 0.0401 45.00 - AB 1 colibri
600.00 g 15.2128 0.0402 45.00 - AB 1 colibri
600.00 zy 14.1966 0.0401 45.00 - AB 1 colibri
650.00 r 14.5245 0.0401 45.00 - AB 1 colibri
650.00 zy 14.2730 0.0401 45.00 - AB 1 colibri
700.00 i 14.3714 0.0401 45.00 - AB 1 colibri
700.00 zy 14.3439 0.0401 45.00 - AB 1 colibri
750.00 g 15.4263 0.0402 45.00 - AB 1 colibri
750.00 zy 14.4101 0.0402 45.00 - AB 1 colibri
800.00 r 14.7236 0.0401 45.00 - AB 1 colibri
800.00 zy 14.4721 0.0402 45.00 - AB 1 colibri
850.00 i 14.5579 0.0401 45.00 - AB 1 colibri
850.00 zy 14.5304 0.0402 45.00 - AB 1 colibri
