#name:GRB_377
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.6
#Av_host:0.12
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 15.2293 0.0401 45.00 - AB 1 colibri
300.00 zy 14.6704 0.0402 45.00 - AB 1 colibri
350.00 r 15.4859 0.0402 45.00 - AB 1 colibri
350.00 zy 14.9644 0.0403 45.00 - AB 1 colibri
400.00 i 15.4632 0.0403 45.00 - AB 1 colibri
400.00 zy 15.2210 0.0404 45.00 - AB 1 colibri
450.00 g 16.3387 0.0405 45.00 - AB 1 colibri
450.00 zy 15.4488 0.0405 45.00 - AB 1 colibri
500.00 r 16.1749 0.0404 45.00 - AB 1 colibri
500.00 zy 15.6534 0.0406 45.00 - AB 1 colibri
550.00 i 16.0815 0.0406 45.00 - AB 1 colibri
550.00 zy 15.8393 0.0407 45.00 - AB 1 colibri
600.00 g 16.8996 0.0408 45.00 - AB 1 colibri
600.00 zy 16.0096 0.0409 45.00 - AB 1 colibri
650.00 r 16.6881 0.0407 45.00 - AB 1 colibri
650.00 zy 16.1666 0.0410 45.00 - AB 1 colibri
700.00 i 16.5546 0.0410 45.00 - AB 1 colibri
700.00 zy 16.3124 0.0412 45.00 - AB 1 colibri
750.00 g 17.3384 0.0413 45.00 - AB 1 colibri
750.00 zy 16.4484 0.0414 45.00 - AB 1 colibri
800.00 r 17.0973 0.0411 45.00 - AB 1 colibri
800.00 zy 16.5759 0.0417 45.00 - AB 1 colibri
850.00 i 16.9379 0.0415 45.00 - AB 1 colibri
850.00 zy 16.6958 0.0420 45.00 - AB 1 colibri
