#name:GRB_445
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.23
#Av_host:0.0
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 12.7994 0.0400 45.00 - AB 1 colibri
300.00 zy 12.5119 0.0400 45.00 - AB 1 colibri
350.00 r 12.9831 0.0400 45.00 - AB 1 colibri
350.00 zy 12.7208 0.0400 45.00 - AB 1 colibri
400.00 i 13.0257 0.0400 45.00 - AB 1 colibri
400.00 zy 12.9032 0.0400 45.00 - AB 1 colibri
450.00 g 13.5077 0.0400 45.00 - AB 1 colibri
450.00 zy 13.0651 0.0400 45.00 - AB 1 colibri
500.00 r 13.4728 0.0400 45.00 - AB 1 colibri
500.00 zy 13.2106 0.0400 45.00 - AB 1 colibri
550.00 i 13.4652 0.0400 45.00 - AB 1 colibri
550.00 zy 13.3427 0.0401 45.00 - AB 1 colibri
600.00 g 13.9064 0.0400 45.00 - AB 1 colibri
600.00 zy 13.4638 0.0401 45.00 - AB 1 colibri
650.00 r 13.8378 0.0400 45.00 - AB 1 colibri
650.00 zy 13.5755 0.0401 45.00 - AB 1 colibri
700.00 i 13.8016 0.0401 45.00 - AB 1 colibri
700.00 zy 13.6791 0.0401 45.00 - AB 1 colibri
750.00 g 14.2185 0.0401 45.00 - AB 1 colibri
750.00 zy 13.7758 0.0401 45.00 - AB 1 colibri
800.00 r 14.1287 0.0401 45.00 - AB 1 colibri
800.00 zy 13.8665 0.0401 45.00 - AB 1 colibri
850.00 i 14.0742 0.0401 45.00 - AB 1 colibri
850.00 zy 13.9517 0.0401 45.00 - AB 1 colibri
