#name:GRB_161
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.37
#Av_host:0.31
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 16.2586 0.0402 45.00 - AB 1 colibri
300.00 zy 15.7920 0.0407 45.00 - AB 1 colibri
350.00 r 16.4368 0.0406 45.00 - AB 1 colibri
350.00 zy 16.0088 0.0409 45.00 - AB 1 colibri
400.00 i 16.3928 0.0408 45.00 - AB 1 colibri
400.00 zy 16.1981 0.0411 45.00 - AB 1 colibri
450.00 g 17.1121 0.0410 45.00 - AB 1 colibri
450.00 zy 16.3660 0.0413 45.00 - AB 1 colibri
500.00 r 16.9451 0.0410 45.00 - AB 1 colibri
500.00 zy 16.5170 0.0416 45.00 - AB 1 colibri
550.00 i 16.8489 0.0414 45.00 - AB 1 colibri
550.00 zy 16.6542 0.0419 45.00 - AB 1 colibri
600.00 g 17.5258 0.0416 45.00 - AB 1 colibri
600.00 zy 16.7798 0.0422 45.00 - AB 1 colibri
650.00 r 17.3237 0.0414 45.00 - AB 1 colibri
650.00 zy 16.8957 0.0425 45.00 - AB 1 colibri
700.00 i 17.1979 0.0421 45.00 - AB 1 colibri
700.00 zy 17.0032 0.0429 45.00 - AB 1 colibri
750.00 g 17.8496 0.0423 45.00 - AB 1 colibri
750.00 zy 17.1035 0.0433 45.00 - AB 1 colibri
800.00 r 17.6256 0.0420 45.00 - AB 1 colibri
800.00 zy 17.1976 0.0438 45.00 - AB 1 colibri
850.00 i 17.4808 0.0429 45.00 - AB 1 colibri
850.00 zy 17.2861 0.0443 45.00 - AB 1 colibri
