#name:GRB_437
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:2.0
#Av_host:0.3
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 12.4678 0.0400 45.00 - AB 1 colibri
300.00 zy 11.9333 0.0400 45.00 - AB 1 colibri
350.00 r 12.5409 0.0400 45.00 - AB 1 colibri
350.00 zy 12.0636 0.0400 45.00 - AB 1 colibri
400.00 i 12.3820 0.0400 45.00 - AB 1 colibri
400.00 zy 12.1773 0.0400 45.00 - AB 1 colibri
450.00 g 13.1859 0.0400 45.00 - AB 1 colibri
450.00 zy 12.2783 0.0400 45.00 - AB 1 colibri
500.00 r 12.8464 0.0400 45.00 - AB 1 colibri
500.00 zy 12.3691 0.0400 45.00 - AB 1 colibri
550.00 i 12.6562 0.0400 45.00 - AB 1 colibri
550.00 zy 12.4515 0.0400 45.00 - AB 1 colibri
600.00 g 13.4347 0.0400 45.00 - AB 1 colibri
600.00 zy 12.5271 0.0400 45.00 - AB 1 colibri
650.00 r 13.0740 0.0400 45.00 - AB 1 colibri
650.00 zy 12.5967 0.0400 45.00 - AB 1 colibri
700.00 i 12.8661 0.0400 45.00 - AB 1 colibri
700.00 zy 12.6614 0.0400 45.00 - AB 1 colibri
750.00 g 13.6294 0.0400 45.00 - AB 1 colibri
750.00 zy 12.7218 0.0400 45.00 - AB 1 colibri
800.00 r 13.2556 0.0400 45.00 - AB 1 colibri
800.00 zy 12.7783 0.0400 45.00 - AB 1 colibri
850.00 i 13.0362 0.0400 45.00 - AB 1 colibri
850.00 zy 12.8315 0.0400 45.00 - AB 1 colibri
