#name:GRB_611
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.97
#Av_host:0.67
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 16.1736 0.0402 45.00 - AB 1 colibri
300.00 zy 15.4847 0.0405 45.00 - AB 1 colibri
350.00 r 16.4011 0.0405 45.00 - AB 1 colibri
350.00 zy 15.7897 0.0407 45.00 - AB 1 colibri
400.00 i 16.3336 0.0408 45.00 - AB 1 colibri
400.00 zy 16.0560 0.0409 45.00 - AB 1 colibri
450.00 g 17.5014 0.0416 45.00 - AB 1 colibri
450.00 zy 16.2922 0.0412 45.00 - AB 1 colibri
500.00 r 17.1159 0.0412 45.00 - AB 1 colibri
500.00 zy 16.5046 0.0415 45.00 - AB 1 colibri
550.00 i 16.9750 0.0416 45.00 - AB 1 colibri
550.00 zy 16.6974 0.0420 45.00 - AB 1 colibri
600.00 g 18.0833 0.0431 45.00 - AB 1 colibri
600.00 zy 16.8741 0.0425 45.00 - AB 1 colibri
650.00 r 17.6484 0.0421 45.00 - AB 1 colibri
650.00 zy 17.0370 0.0431 45.00 - AB 1 colibri
700.00 i 17.4659 0.0429 45.00 - AB 1 colibri
700.00 zy 17.1882 0.0437 45.00 - AB 1 colibri
750.00 g 18.5385 0.0454 45.00 - AB 1 colibri
750.00 zy 17.3293 0.0445 45.00 - AB 1 colibri
800.00 r 18.0729 0.0434 45.00 - AB 1 colibri
800.00 zy 17.4615 0.0454 45.00 - AB 1 colibri
850.00 i 17.8636 0.0448 45.00 - AB 1 colibri
850.00 zy 17.5859 0.0464 45.00 - AB 1 colibri
