#name:GRB_61
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.27
#Av_host:0.97
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 17.2477 0.0405 45.00 - AB 1 colibri
300.00 zy 16.3903 0.0413 45.00 - AB 1 colibri
350.00 r 17.2619 0.0414 45.00 - AB 1 colibri
350.00 zy 16.4750 0.0415 45.00 - AB 1 colibri
400.00 i 16.8856 0.0414 45.00 - AB 1 colibri
400.00 zy 16.5490 0.0416 45.00 - AB 1 colibri
450.00 g 18.1845 0.0435 45.00 - AB 1 colibri
450.00 zy 16.6146 0.0418 45.00 - AB 1 colibri
500.00 r 17.4606 0.0417 45.00 - AB 1 colibri
500.00 zy 16.6737 0.0419 45.00 - AB 1 colibri
550.00 i 17.0640 0.0418 45.00 - AB 1 colibri
550.00 zy 16.7273 0.0420 45.00 - AB 1 colibri
600.00 g 18.3463 0.0443 45.00 - AB 1 colibri
600.00 zy 16.7764 0.0422 45.00 - AB 1 colibri
650.00 r 17.6086 0.0420 45.00 - AB 1 colibri
650.00 zy 16.8218 0.0423 45.00 - AB 1 colibri
700.00 i 17.2005 0.0421 45.00 - AB 1 colibri
700.00 zy 16.8638 0.0424 45.00 - AB 1 colibri
750.00 g 18.4729 0.0450 45.00 - AB 1 colibri
750.00 zy 16.9031 0.0426 45.00 - AB 1 colibri
800.00 r 17.7268 0.0423 45.00 - AB 1 colibri
800.00 zy 16.9399 0.0427 45.00 - AB 1 colibri
850.00 i 17.3112 0.0424 45.00 - AB 1 colibri
850.00 zy 16.9745 0.0428 45.00 - AB 1 colibri
