#name:GRB_269
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.3
#Av_host:0.95
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 20.1489 0.0636 45.00 - AB 1 colibri
300.00 zy 19.3101 0.1017 45.00 - AB 1 colibri
350.00 r 20.2488 0.0905 45.00 - AB 1 colibri
350.00 zy 19.4812 0.1150 45.00 - AB 1 colibri
400.00 i 19.9567 0.1101 45.00 - AB 1 colibri
400.00 zy 19.6307 0.1286 45.00 - AB 1 colibri
450.00 g 21.2990 0.1842 45.00 - AB 1 colibri
450.00 zy 19.7633 0.1422 45.00 - AB 1 colibri
500.00 r 20.6501 0.1192 45.00 - AB 1 colibri
500.00 zy 19.8825 0.1559 45.00 - AB 1 colibri
550.00 i 20.3169 0.1439 45.00 - AB 1 colibri
550.00 zy 19.9908 0.1696 45.00 - AB 1 colibri
600.00 g 21.6258 0.2375 45.00 - AB 1 colibri
600.00 zy 20.0900 0.1834 45.00 - AB 1 colibri
650.00 r 20.9491 0.1487 45.00 - AB 1 colibri
650.00 zy 20.1816 0.1971 45.00 - AB 1 colibri
700.00 i 20.5925 0.1780 45.00 - AB 1 colibri
700.00 zy 20.2665 0.2107 45.00 - AB 1 colibri
750.00 g 21.8815 0.2897 45.00 - AB 1 colibri
750.00 zy 20.3458 0.2243 45.00 - AB 1 colibri
800.00 r 21.1876 0.1784 45.00 - AB 1 colibri
800.00 zy 20.4200 0.2378 45.00 - AB 1 colibri
850.00 i 20.8159 0.2121 45.00 - AB 1 colibri
850.00 zy 20.4899 0.2513 45.00 - AB 1 colibri
