#name:GRB_495
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:2.95
#Av_host:0.27
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 20.2519 0.0671 45.00 - AB 1 colibri
300.00 zy 19.3338 0.1034 45.00 - AB 1 colibri
350.00 r 20.3553 0.0971 45.00 - AB 1 colibri
350.00 zy 19.5018 0.1168 45.00 - AB 1 colibri
400.00 i 20.0113 0.1146 45.00 - AB 1 colibri
400.00 zy 19.6485 0.1303 45.00 - AB 1 colibri
450.00 g 21.4747 0.2111 45.00 - AB 1 colibri
450.00 zy 19.7787 0.1439 45.00 - AB 1 colibri
500.00 r 20.7492 0.1281 45.00 - AB 1 colibri
500.00 zy 19.8958 0.1575 45.00 - AB 1 colibri
550.00 i 20.3649 0.1493 45.00 - AB 1 colibri
550.00 zy 20.0021 0.1711 45.00 - AB 1 colibri
600.00 g 21.7954 0.2710 45.00 - AB 1 colibri
600.00 zy 20.0995 0.1847 45.00 - AB 1 colibri
650.00 r 21.0427 0.1597 45.00 - AB 1 colibri
650.00 zy 20.1893 0.1983 45.00 - AB 1 colibri
700.00 i 20.6355 0.1841 45.00 - AB 1 colibri
700.00 zy 20.2727 0.2117 45.00 - AB 1 colibri
750.00 g 21.9897 0.3149 45.00 - AB 0 colibri
750.00 zy 20.3505 0.2251 45.00 - AB 1 colibri
800.00 r 21.2768 0.1912 45.00 - AB 1 colibri
800.00 zy 20.4234 0.2385 45.00 - AB 1 colibri
850.00 i 20.8548 0.2186 45.00 - AB 1 colibri
850.00 zy 20.4920 0.2517 45.00 - AB 1 colibri
