#name:GRB_193
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:2.06
#Av_host:0.17
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 13.4895 0.0400 45.00 - AB 1 colibri
300.00 zy 13.0143 0.0400 45.00 - AB 1 colibri
350.00 r 13.6413 0.0400 45.00 - AB 1 colibri
350.00 zy 13.2154 0.0400 45.00 - AB 1 colibri
400.00 i 13.5810 0.0400 45.00 - AB 1 colibri
400.00 zy 13.3909 0.0401 45.00 - AB 1 colibri
450.00 g 14.3293 0.0401 45.00 - AB 1 colibri
450.00 zy 13.5467 0.0401 45.00 - AB 1 colibri
500.00 r 14.1127 0.0401 45.00 - AB 1 colibri
500.00 zy 13.6867 0.0401 45.00 - AB 1 colibri
550.00 i 14.0040 0.0401 45.00 - AB 1 colibri
550.00 zy 13.8139 0.0401 45.00 - AB 1 colibri
600.00 g 14.7130 0.0401 45.00 - AB 1 colibri
600.00 zy 13.9304 0.0401 45.00 - AB 1 colibri
650.00 r 14.4639 0.0401 45.00 - AB 1 colibri
650.00 zy 14.0379 0.0401 45.00 - AB 1 colibri
700.00 i 14.3277 0.0401 45.00 - AB 1 colibri
700.00 zy 14.1377 0.0401 45.00 - AB 1 colibri
750.00 g 15.0133 0.0401 45.00 - AB 1 colibri
750.00 zy 14.2307 0.0401 45.00 - AB 1 colibri
800.00 r 14.7439 0.0401 45.00 - AB 1 colibri
800.00 zy 14.3179 0.0401 45.00 - AB 1 colibri
850.00 i 14.5901 0.0401 45.00 - AB 1 colibri
850.00 zy 14.4000 0.0402 45.00 - AB 1 colibri
