#name:GRB_60
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.15
#Av_host:0.19
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 19.7774 0.0542 45.00 - AB 1 colibri
300.00 zy 19.0302 0.0842 45.00 - AB 1 colibri
350.00 r 19.8946 0.0732 45.00 - AB 1 colibri
350.00 zy 19.2013 0.0943 45.00 - AB 1 colibri
400.00 i 19.6690 0.0903 45.00 - AB 1 colibri
400.00 zy 19.3507 0.1047 45.00 - AB 1 colibri
450.00 g 20.7443 0.1211 45.00 - AB 1 colibri
450.00 zy 19.4834 0.1152 45.00 - AB 1 colibri
500.00 r 20.2959 0.0933 45.00 - AB 1 colibri
500.00 zy 19.6026 0.1259 45.00 - AB 1 colibri
550.00 i 20.0291 0.1161 45.00 - AB 1 colibri
550.00 zy 19.7109 0.1366 45.00 - AB 1 colibri
600.00 g 21.0710 0.1545 45.00 - AB 1 colibri
600.00 zy 19.8101 0.1474 45.00 - AB 1 colibri
650.00 r 20.5950 0.1146 45.00 - AB 1 colibri
650.00 zy 19.9016 0.1582 45.00 - AB 1 colibri
700.00 i 20.3048 0.1426 45.00 - AB 1 colibri
700.00 zy 19.9866 0.1691 45.00 - AB 1 colibri
750.00 g 21.3267 0.1882 45.00 - AB 1 colibri
750.00 zy 20.0658 0.1799 45.00 - AB 1 colibri
800.00 r 20.8334 0.1363 45.00 - AB 1 colibri
800.00 zy 20.1401 0.1907 45.00 - AB 1 colibri
850.00 i 20.5282 0.1693 45.00 - AB 1 colibri
850.00 zy 20.2100 0.2015 45.00 - AB 1 colibri
