#name:GRB_344
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.09
#Av_host:0.74
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 11.2211 0.0400 45.00 - AB 1 colibri
300.00 zy 10.6023 0.0400 45.00 - AB 1 colibri
350.00 r 11.3662 0.0400 45.00 - AB 1 colibri
350.00 zy 10.7939 0.0400 45.00 - AB 1 colibri
400.00 i 11.2149 0.0400 45.00 - AB 1 colibri
400.00 zy 10.9612 0.0400 45.00 - AB 1 colibri
450.00 g 12.1352 0.0400 45.00 - AB 1 colibri
450.00 zy 11.1097 0.0400 45.00 - AB 1 colibri
500.00 r 11.8154 0.0400 45.00 - AB 1 colibri
500.00 zy 11.2431 0.0400 45.00 - AB 1 colibri
550.00 i 11.6181 0.0400 45.00 - AB 1 colibri
550.00 zy 11.3643 0.0400 45.00 - AB 1 colibri
600.00 g 12.5009 0.0400 45.00 - AB 1 colibri
600.00 zy 11.4754 0.0400 45.00 - AB 1 colibri
650.00 r 12.1501 0.0400 45.00 - AB 1 colibri
650.00 zy 11.5778 0.0400 45.00 - AB 1 colibri
700.00 i 11.9267 0.0400 45.00 - AB 1 colibri
700.00 zy 11.6729 0.0400 45.00 - AB 1 colibri
750.00 g 12.7872 0.0400 45.00 - AB 1 colibri
750.00 zy 11.7616 0.0400 45.00 - AB 1 colibri
800.00 r 12.4170 0.0400 45.00 - AB 1 colibri
800.00 zy 11.8447 0.0400 45.00 - AB 1 colibri
850.00 i 12.1767 0.0400 45.00 - AB 1 colibri
850.00 zy 11.9229 0.0400 45.00 - AB 1 colibri
