#name:GRB_439
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.12
#Av_host:0.4
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 13.1005 0.0400 45.00 - AB 1 colibri
300.00 zy 12.2114 0.0400 45.00 - AB 1 colibri
350.00 r 13.2493 0.0400 45.00 - AB 1 colibri
350.00 zy 12.3904 0.0400 45.00 - AB 1 colibri
400.00 i 12.9425 0.0400 45.00 - AB 1 colibri
400.00 zy 12.5467 0.0400 45.00 - AB 1 colibri
450.00 g 14.1639 0.0401 45.00 - AB 1 colibri
450.00 zy 12.6855 0.0400 45.00 - AB 1 colibri
500.00 r 13.6691 0.0400 45.00 - AB 1 colibri
500.00 zy 12.8102 0.0400 45.00 - AB 1 colibri
550.00 i 13.3192 0.0400 45.00 - AB 1 colibri
550.00 zy 12.9234 0.0400 45.00 - AB 1 colibri
600.00 g 14.5056 0.0401 45.00 - AB 1 colibri
600.00 zy 13.0272 0.0400 45.00 - AB 1 colibri
650.00 r 13.9818 0.0401 45.00 - AB 1 colibri
650.00 zy 13.1229 0.0400 45.00 - AB 1 colibri
700.00 i 13.6076 0.0401 45.00 - AB 1 colibri
700.00 zy 13.2117 0.0400 45.00 - AB 1 colibri
750.00 g 14.7731 0.0401 45.00 - AB 1 colibri
750.00 zy 13.2946 0.0401 45.00 - AB 1 colibri
800.00 r 14.2312 0.0401 45.00 - AB 1 colibri
800.00 zy 13.3723 0.0401 45.00 - AB 1 colibri
850.00 i 13.8412 0.0401 45.00 - AB 1 colibri
850.00 zy 13.4454 0.0401 45.00 - AB 1 colibri
