#name:GRB_301
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:2.49
#Av_host:1.02
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 16.8349 0.0403 45.00 - AB 1 colibri
300.00 zy 15.3680 0.0404 45.00 - AB 1 colibri
350.00 r 17.1465 0.0412 45.00 - AB 1 colibri
350.00 zy 15.6778 0.0406 45.00 - AB 1 colibri
400.00 i 16.6078 0.0410 45.00 - AB 1 colibri
400.00 zy 15.9481 0.0408 45.00 - AB 1 colibri
450.00 g 19.1804 0.0522 45.00 - AB 1 colibri
450.00 zy 16.1880 0.0410 45.00 - AB 1 colibri
500.00 r 17.8724 0.0427 45.00 - AB 1 colibri
500.00 zy 16.4037 0.0414 45.00 - AB 1 colibri
550.00 i 17.2592 0.0422 45.00 - AB 1 colibri
550.00 zy 16.5995 0.0417 45.00 - AB 1 colibri
600.00 g 19.7712 0.0660 45.00 - AB 1 colibri
600.00 zy 16.7789 0.0422 45.00 - AB 1 colibri
650.00 r 18.4131 0.0452 45.00 - AB 1 colibri
650.00 zy 16.9444 0.0427 45.00 - AB 1 colibri
700.00 i 17.7576 0.0442 45.00 - AB 1 colibri
700.00 zy 17.0979 0.0433 45.00 - AB 1 colibri
750.00 g 20.2335 0.0855 45.00 - AB 1 colibri
750.00 zy 17.2412 0.0440 45.00 - AB 1 colibri
800.00 r 18.8442 0.0489 45.00 - AB 1 colibri
800.00 zy 17.3755 0.0448 45.00 - AB 1 colibri
850.00 i 18.1615 0.0472 45.00 - AB 1 colibri
850.00 zy 17.5018 0.0457 45.00 - AB 1 colibri
