#name:GRB_138
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.56
#Av_host:0.6
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 13.3861 0.0400 45.00 - AB 1 colibri
300.00 zy 12.9723 0.0400 45.00 - AB 1 colibri
350.00 r 13.5659 0.0400 45.00 - AB 1 colibri
350.00 zy 13.1938 0.0400 45.00 - AB 1 colibri
400.00 i 13.5561 0.0400 45.00 - AB 1 colibri
400.00 zy 13.3872 0.0401 45.00 - AB 1 colibri
450.00 g 14.2258 0.0401 45.00 - AB 1 colibri
450.00 zy 13.5588 0.0401 45.00 - AB 1 colibri
500.00 r 14.0851 0.0401 45.00 - AB 1 colibri
500.00 zy 13.7130 0.0401 45.00 - AB 1 colibri
550.00 i 14.0221 0.0401 45.00 - AB 1 colibri
550.00 zy 13.8532 0.0401 45.00 - AB 1 colibri
600.00 g 14.6486 0.0401 45.00 - AB 1 colibri
600.00 zy 13.9815 0.0401 45.00 - AB 1 colibri
650.00 r 14.4720 0.0401 45.00 - AB 1 colibri
650.00 zy 14.0999 0.0401 45.00 - AB 1 colibri
700.00 i 14.3787 0.0401 45.00 - AB 1 colibri
700.00 zy 14.2098 0.0401 45.00 - AB 1 colibri
750.00 g 14.9794 0.0401 45.00 - AB 1 colibri
750.00 zy 14.3123 0.0401 45.00 - AB 1 colibri
800.00 r 14.7805 0.0401 45.00 - AB 1 colibri
800.00 zy 14.4084 0.0402 45.00 - AB 1 colibri
850.00 i 14.6677 0.0401 45.00 - AB 1 colibri
850.00 zy 14.4988 0.0402 45.00 - AB 1 colibri
