#name:GRB_417
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:4.65
#Av_host:0.4
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 17.5874 0.0407 45.00 - AB 1 colibri
300.00 zy 16.2644 0.0412 45.00 - AB 1 colibri
350.00 r 18.2151 0.0441 45.00 - AB 1 colibri
350.00 zy 16.4592 0.0415 45.00 - AB 1 colibri
400.00 i 16.8494 0.0414 45.00 - AB 1 colibri
400.00 zy 16.6292 0.0418 45.00 - AB 1 colibri
450.00 g 20.7265 0.1196 45.00 - AB 1 colibri
450.00 zy 16.7801 0.0422 45.00 - AB 1 colibri
500.00 r 18.6717 0.0471 45.00 - AB 1 colibri
500.00 zy 16.9158 0.0426 45.00 - AB 1 colibri
550.00 i 17.2592 0.0422 45.00 - AB 1 colibri
550.00 zy 17.0390 0.0431 45.00 - AB 1 colibri
600.00 g 21.0982 0.1578 45.00 - AB 1 colibri
600.00 zy 17.1518 0.0436 45.00 - AB 1 colibri
650.00 r 19.0119 0.0510 45.00 - AB 1 colibri
650.00 zy 17.2560 0.0441 45.00 - AB 1 colibri
700.00 i 17.5728 0.0433 45.00 - AB 1 colibri
700.00 zy 17.3526 0.0447 45.00 - AB 1 colibri
750.00 g 21.3891 0.1975 45.00 - AB 1 colibri
750.00 zy 17.4428 0.0453 45.00 - AB 1 colibri
800.00 r 19.2832 0.0555 45.00 - AB 1 colibri
800.00 zy 17.5272 0.0459 45.00 - AB 1 colibri
850.00 i 17.8270 0.0446 45.00 - AB 1 colibri
850.00 zy 17.6067 0.0466 45.00 - AB 1 colibri
