#name:GRB_340
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.46
#Av_host:0.15
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 17.7503 0.0409 45.00 - AB 1 colibri
300.00 zy 17.2076 0.0438 45.00 - AB 1 colibri
350.00 r 17.8910 0.0428 45.00 - AB 1 colibri
350.00 zy 17.3913 0.0449 45.00 - AB 1 colibri
400.00 i 17.7778 0.0443 45.00 - AB 1 colibri
400.00 zy 17.5517 0.0461 45.00 - AB 1 colibri
450.00 g 18.5751 0.0457 45.00 - AB 1 colibri
450.00 zy 17.6941 0.0475 45.00 - AB 1 colibri
500.00 r 18.3218 0.0446 45.00 - AB 1 colibri
500.00 zy 17.8221 0.0489 45.00 - AB 1 colibri
550.00 i 18.1644 0.0472 45.00 - AB 1 colibri
550.00 zy 17.9383 0.0505 45.00 - AB 1 colibri
600.00 g 18.9259 0.0488 45.00 - AB 1 colibri
600.00 zy 18.0448 0.0521 45.00 - AB 1 colibri
650.00 r 18.6428 0.0469 45.00 - AB 1 colibri
650.00 zy 18.1431 0.0539 45.00 - AB 1 colibri
700.00 i 18.4603 0.0507 45.00 - AB 1 colibri
700.00 zy 18.2342 0.0557 45.00 - AB 1 colibri
750.00 g 19.2004 0.0526 45.00 - AB 1 colibri
750.00 zy 18.3193 0.0576 45.00 - AB 1 colibri
800.00 r 18.8987 0.0495 45.00 - AB 1 colibri
800.00 zy 18.3990 0.0596 45.00 - AB 1 colibri
850.00 i 18.7001 0.0547 45.00 - AB 1 colibri
850.00 zy 18.4740 0.0617 45.00 - AB 1 colibri
