#name:GRB_224
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:0.38
#Av_host:0.0
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 11.9604 0.0400 45.00 - AB 1 colibri
300.00 zy 11.5065 0.0400 45.00 - AB 1 colibri
350.00 r 12.1584 0.0400 45.00 - AB 1 colibri
350.00 zy 11.7374 0.0400 45.00 - AB 1 colibri
400.00 i 12.1360 0.0400 45.00 - AB 1 colibri
400.00 zy 11.9390 0.0400 45.00 - AB 1 colibri
450.00 g 12.8280 0.0400 45.00 - AB 1 colibri
450.00 zy 12.1180 0.0400 45.00 - AB 1 colibri
500.00 r 12.6998 0.0400 45.00 - AB 1 colibri
500.00 zy 12.2788 0.0400 45.00 - AB 1 colibri
550.00 i 12.6219 0.0400 45.00 - AB 1 colibri
550.00 zy 12.4249 0.0400 45.00 - AB 1 colibri
600.00 g 13.2688 0.0400 45.00 - AB 1 colibri
600.00 zy 12.5587 0.0400 45.00 - AB 1 colibri
650.00 r 13.1032 0.0400 45.00 - AB 1 colibri
650.00 zy 12.6822 0.0400 45.00 - AB 1 colibri
700.00 i 12.9937 0.0400 45.00 - AB 1 colibri
700.00 zy 12.7967 0.0400 45.00 - AB 1 colibri
750.00 g 13.6137 0.0400 45.00 - AB 1 colibri
750.00 zy 12.9036 0.0400 45.00 - AB 1 colibri
800.00 r 13.4248 0.0400 45.00 - AB 1 colibri
800.00 zy 13.0038 0.0400 45.00 - AB 1 colibri
850.00 i 13.2950 0.0400 45.00 - AB 1 colibri
850.00 zy 13.0981 0.0400 45.00 - AB 1 colibri
