#name:GRB_21
#type:lc
#RA_J2000:0
#DEC_J2000:0
#MW_corrected:1
#time_unit:s 
#z:1.39
#Av_host:0.08
time_since_burst band flux flux_err Texp zp flux_unit detection telescope
300.00 gri 15.5495 0.0401 45.00 - AB 1 colibri
300.00 zy 15.1755 0.0403 45.00 - AB 1 colibri
350.00 r 15.7957 0.0403 45.00 - AB 1 colibri
350.00 zy 15.4569 0.0405 45.00 - AB 1 colibri
400.00 i 15.8572 0.0405 45.00 - AB 1 colibri
400.00 zy 15.7025 0.0406 45.00 - AB 1 colibri
450.00 g 16.5132 0.0405 45.00 - AB 1 colibri
450.00 zy 15.9205 0.0408 45.00 - AB 1 colibri
500.00 r 16.4552 0.0406 45.00 - AB 1 colibri
500.00 zy 16.1164 0.0410 45.00 - AB 1 colibri
550.00 i 16.4490 0.0409 45.00 - AB 1 colibri
550.00 zy 16.2943 0.0412 45.00 - AB 1 colibri
600.00 g 17.0500 0.0410 45.00 - AB 1 colibri
600.00 zy 16.4573 0.0415 45.00 - AB 1 colibri
650.00 r 16.9465 0.0410 45.00 - AB 1 colibri
650.00 zy 16.6076 0.0418 45.00 - AB 1 colibri
700.00 i 16.9019 0.0415 45.00 - AB 1 colibri
700.00 zy 16.7471 0.0421 45.00 - AB 1 colibri
750.00 g 17.4700 0.0415 45.00 - AB 1 colibri
750.00 zy 16.8773 0.0425 45.00 - AB 1 colibri
800.00 r 17.3381 0.0415 45.00 - AB 1 colibri
800.00 zy 16.9993 0.0429 45.00 - AB 1 colibri
850.00 i 17.2688 0.0423 45.00 - AB 1 colibri
850.00 zy 17.1141 0.0434 45.00 - AB 1 colibri
